city,station,year,pollutant,station_val,city_avg
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026,PM2.5,105.0,100
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2018,PM2.5,106.0,116
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2019,PM2.5,109.0,109
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2020,PM2.5,100.0,97
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2021,PM2.5,108.0,107
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2022,PM2.5,98.0,99
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2023,PM2.5,108.0,101
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2024,PM2.5,111.0,105
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2025,PM2.5,101.0,102
Delhi,"Dwarka-Sector 8, Delhi - DPCC",2026,PM2.5,116.0,100
Delhi,"IGI Airport (T3), Delhi - IMD",2015,PM2.5,163.0,135
Delhi,"IGI Airport (T3), Delhi - IMD",2016,PM2.5,115.0,166
Delhi,"IGI Airport (T3), Delhi - IMD",2017,PM2.5,142.0,134
Delhi,"IGI Airport (T3), Delhi - IMD",2018,PM2.5,85.0,116
Delhi,"IGI Airport (T3), Delhi - IMD",2019,PM2.5,95.0,109
Delhi,"IGI Airport (T3), Delhi - IMD",2020,PM2.5,81.0,97
Delhi,"IGI Airport (T3), Delhi - IMD",2021,PM2.5,96.0,107
Delhi,"IGI Airport (T3), Delhi - IMD",2022,PM2.5,83.0,99
Delhi,"IGI Airport (T3), Delhi - IMD",2023,PM2.5,87.0,101
Delhi,"IGI Airport (T3), Delhi - IMD",2024,PM2.5,92.0,105
Delhi,"IGI Airport (T3), Delhi - IMD",2025,PM2.5,80.0,102
Delhi,"IGI Airport (T3), Delhi - IMD",2026,PM2.5,75.0,100
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2015,PM2.5,,135
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2016,PM2.5,,166
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2017,PM2.5,,134
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2018,PM2.5,,116
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2019,PM2.5,,109
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2020,PM2.5,,97
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2021,PM2.5,,107
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2022,PM2.5,,99
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2023,PM2.5,,101
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2024,PM2.5,,105
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2025,PM2.5,,102
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2026,PM2.5,78.0,100
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2015,PM2.5,131.0,135
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2016,PM2.5,130.0,166
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2017,PM2.5,86.0,134
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2018,PM2.5,102.0,116
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2019,PM2.5,113.0,109
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2020,PM2.5,83.0,97
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2021,PM2.5,89.0,107
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2022,PM2.5,85.0,99
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2023,PM2.5,80.0,101
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2024,PM2.5,76.0,105
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2025,PM2.5,75.0,102
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2026,PM2.5,91.0,100
Delhi,"IIT Delhi, Delhi - IITM",2015,PM2.5,,135
Delhi,"IIT Delhi, Delhi - IITM",2016,PM2.5,,166
Delhi,"IIT Delhi, Delhi - IITM",2017,PM2.5,,134
Delhi,"IIT Delhi, Delhi - IITM",2018,PM2.5,,116
Delhi,"IIT Delhi, Delhi - IITM",2019,PM2.5,,109
Delhi,"IIT Delhi, Delhi - IITM",2020,PM2.5,,97
Delhi,"IIT Delhi, Delhi - IITM",2021,PM2.5,,107
Delhi,"IIT Delhi, Delhi - IITM",2022,PM2.5,,99
Delhi,"IIT Delhi, Delhi - IITM",2023,PM2.5,,101
Delhi,"IIT Delhi, Delhi - IITM",2024,PM2.5,,105
Delhi,"IIT Delhi, Delhi - IITM",2025,PM2.5,160.0,102
Delhi,"IIT Delhi, Delhi - IITM",2026,PM2.5,82.0,100
Delhi,"ITO, Delhi - CPCB",2015,PM2.5,178.0,135
Delhi,"ITO, Delhi - CPCB",2016,PM2.5,231.0,166
Delhi,"ITO, Delhi - CPCB",2017,PM2.5,124.0,134
Delhi,"ITO, Delhi - CPCB",2018,PM2.5,124.0,116
Delhi,"ITO, Delhi - CPCB",2019,PM2.5,109.0,109
Delhi,"ITO, Delhi - CPCB",2020,PM2.5,110.0,97
Delhi,"ITO, Delhi - CPCB",2021,PM2.5,125.0,107
Delhi,"ITO, Delhi - CPCB",2022,PM2.5,104.0,99
Delhi,"ITO, Delhi - CPCB",2023,PM2.5,110.0,101
Delhi,"ITO, Delhi - CPCB",2024,PM2.5,100.0,105
Delhi,"ITO, Delhi - CPCB",2025,PM2.5,102.0,102
Delhi,"ITO, Delhi - CPCB",2026,PM2.5,106.0,100
Delhi,"JNU, Delhi - DPCC",2015,PM2.5,,135
Delhi,"JNU, Delhi - DPCC",2016,PM2.5,,166
Delhi,"JNU, Delhi - DPCC",2017,PM2.5,,134
Delhi,"JNU, Delhi - DPCC",2018,PM2.5,,116
Delhi,"JNU, Delhi - DPCC",2019,PM2.5,,109
Delhi,"JNU, Delhi - DPCC",2020,PM2.5,,97
Delhi,"JNU, Delhi - DPCC",2021,PM2.5,,107
Delhi,"JNU, Delhi - DPCC",2022,PM2.5,,99
Delhi,"JNU, Delhi - DPCC",2023,PM2.5,,101
Delhi,"JNU, Delhi - DPCC",2024,PM2.5,,105
Delhi,"JNU, Delhi - DPCC",2025,PM2.5,,102
Delhi,"JNU, Delhi - DPCC",2026,PM2.5,60.0,100
Delhi,"Jahangirpuri, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Jahangirpuri, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Jahangirpuri, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Jahangirpuri, Delhi - DPCC",2018,PM2.5,145.0,116
Delhi,"Jahangirpuri, Delhi - DPCC",2019,PM2.5,128.0,109
